Date,tdr_vwc_mean,tdr_vwc_std,tdr_samples,site,smap_soil_moisture_mean,smap_samples,has_tdr,has_smap,has_overlap,tdr_minus_smap
2023-07-26,0.6865590277777778,0.00239555084685206,288.0,Chirimachaya,0.2605045214295387,8.0,True,True,True,0.42605450634823905
2023-07-27,0.679763888888889,0.0016632368891065451,288.0,Chirimachaya,0.25894710421562195,8.0,True,True,True,0.420816784673267
2023-07-28,0.6759930555555556,0.0006465833848453446,288.0,Chirimachaya,0.25733406469225883,8.0,True,True,True,0.4186589908632967
2023-07-29,0.6842916666666666,0.005484695208769409,288.0,Chirimachaya,0.25645818188786507,8.0,True,True,True,0.42783348477880156
2023-07-30,0.7074409722222222,0.006798492487073058,288.0,Chirimachaya,0.2552463747560978,8.0,True,True,True,0.45219459746612445
2023-07-31,0.7000972222222221,0.004133351129555717,288.0,Chirimachaya,0.25286420062184334,8.0,True,True,True,0.4472330216003788
2023-08-01,0.6909340277777777,0.0022036922831165907,288.0,Chirimachaya,0.2510632909834385,8.0,True,True,True,0.4398707367943392
2023-08-02,0.6872395833333333,0.0011082031002925784,288.0,Chirimachaya,0.25126063823699946,8.0,True,True,True,0.4359789450963339
2023-08-03,0.68821875,0.0008897769168011841,288.0,Chirimachaya,0.24974028952419755,8.0,True,True,True,0.4384784604758024
2023-08-04,0.6843055555555556,0.0015246078048388823,288.0,Chirimachaya,0.24868578091263768,8.0,True,True,True,0.4356197746429179
2023-08-05,0.6814618055555557,0.0004994068297208653,288.0,Chirimachaya,0.24748124554753304,8.0,True,True,True,0.43398056000802265
2023-08-06,0.6829895833333334,0.00010170583392827924,288.0,Chirimachaya,0.24580825865268702,8.0,True,True,True,0.43718132468064635
2023-08-07,0.6822152777777778,0.0008277688785517201,288.0,Chirimachaya,0.24466349370777604,8.0,True,True,True,0.4375517840700017
2023-08-08,0.6792291666666668,0.0010866228089449288,288.0,Chirimachaya,0.24383763410151002,8.0,True,True,True,0.4353915325651567
2023-08-09,0.6763055555555556,0.0008202810581286325,288.0,Chirimachaya,0.2430485878139734,8.0,True,True,True,0.4332569677415822
2023-08-10,0.6735000000000001,0.0014956382577040897,288.0,Chirimachaya,0.24172523804008958,8.0,True,True,True,0.4317747619599105
2023-08-11,0.6697916666666667,0.0008981203755952848,288.0,Chirimachaya,0.2399525251239538,8.0,True,True,True,0.42983914154271285
2023-08-12,0.6673645833333334,0.0009712213475430783,288.0,Chirimachaya,0.23861387372016904,8.0,True,True,True,0.4287507096131643
2023-08-13,0.6654166666666668,0.0004938647983248819,288.0,Chirimachaya,0.2376550734043121,8.0,True,True,True,0.42776159326235463
2023-08-14,0.6661736111111112,0.0006607973339314034,288.0,Chirimachaya,0.23752319440245626,8.0,True,True,True,0.4286504167086549
2023-08-15,0.7245034722222222,0.028566323373987727,288.0,Chirimachaya,0.23665036447346208,8.0,True,True,True,0.4878531077487601
2023-08-16,0.7465972222222222,0.002927270421005413,288.0,Chirimachaya,0.2340262401849031,8.0,True,True,True,0.5125709820373192
2023-08-17,0.7158784722222222,0.008999176603406411,288.0,Chirimachaya,0.23268376849591726,8.0,True,True,True,0.48319470372630496
2023-08-18,0.6968958333333333,0.0038240368512506523,288.0,Chirimachaya,0.23182087019085879,8.0,True,True,True,0.4650749631424745
2023-08-19,0.6858472222222223,0.003535424402606258,288.0,Chirimachaya,0.23002312704920766,8.0,True,True,True,0.4558240951730146
2023-08-20,0.6769930555555557,0.002149455899964566,288.0,Chirimachaya,0.2292014956474304,8.0,True,True,True,0.44779155990812525
2023-08-21,0.7386736111111111,0.006378131039384133,288.0,Chirimachaya,0.23202037438750264,8.0,True,True,True,0.5066532367236084
2023-08-22,0.7421944444444445,0.000971924903379265,288.0,Chirimachaya,0.23570838943123815,8.0,True,True,True,0.5064860550132063
2023-08-23,0.7447361111111112,0.0004415069397587056,288.0,Chirimachaya,0.23703158646821973,8.0,True,True,True,0.5077045246428914
2023-08-24,0.7243645833333333,0.013058794779004191,288.0,Chirimachaya,0.23426355794072148,8.0,True,True,True,0.4901010253926118
2023-08-25,0.6978298611111111,0.004039294447327457,288.0,Chirimachaya,0.23330568149685854,8.0,True,True,True,0.4645241796142526
2023-08-26,0.6875138888888889,0.003179827775914302,288.0,Chirimachaya,0.23301382921636102,8.0,True,True,True,0.4545000596725278
2023-08-27,0.6782013888888889,0.0027575170902990292,288.0,Chirimachaya,0.2311333213001489,8.0,True,True,True,0.44706806758874
2023-08-28,0.6744722222222223,0.0005776854507964292,288.0,Chirimachaya,0.23258749581873414,8.0,True,True,True,0.4418847264034881
2023-08-29,0.6737361111111111,0.001212513794518225,288.0,Chirimachaya,0.23280430398881433,8.0,True,True,True,0.44093180712229674
2023-08-30,0.6687673611111111,0.002410353100944902,288.0,Chirimachaya,0.23023820295929906,8.0,True,True,True,0.43852915815181204
2023-08-31,0.6613414634146342,0.002036842978597187,287.0,Chirimachaya,0.22821315005421636,8.0,True,True,True,0.4331283133604178
2023-09-01,0.6558923611111112,0.0018055886860774643,288.0,Chirimachaya,0.22716868482530111,8.0,True,True,True,0.42872367628581004
2023-09-02,0.6501215277777779,0.002202901577036787,288.0,Chirimachaya,0.2255712747573852,8.0,True,True,True,0.4245502530203927
2023-09-03,0.6433090277777778,0.0022674000273976962,288.0,Chirimachaya,0.22526392526924607,8.0,True,True,True,0.41804510250853166
2023-09-04,0.6370659722222222,0.0016440649543549098,288.0,Chirimachaya,0.22418552637100217,8.0,True,True,True,0.41288044585121997
2023-09-05,0.6332465277777778,0.0004317395644256788,288.0,Chirimachaya,0.22320756316184992,8.0,True,True,True,0.41003896461592787
2023-09-06,0.6344375,0.0004969418673368623,288.0,Chirimachaya,0.22116108611226076,8.0,True,True,True,0.4132764138877392
2023-09-07,0.6320277777777777,0.0019858188682817103,288.0,Chirimachaya,0.21944357268512246,8.0,True,True,True,0.41258420509265525
2023-09-08,0.6244375,0.0029412807421569454,288.0,Chirimachaya,0.21753252111375326,8.0,True,True,True,0.4069049788862467
2023-09-09,0.6152187499999999,0.002987324412054693,288.0,Chirimachaya,0.21640132926404473,8.0,True,True,True,0.39881742073595516
2023-09-10,0.6067361111111111,0.0022585065248529584,288.0,Chirimachaya,0.21507872268557546,8.0,True,True,True,0.39165738842553566
2023-09-11,0.6003888888888889,0.0016256271311384247,288.0,Chirimachaya,0.21516837738454336,8.0,True,True,True,0.3852205115043455
2023-09-12,0.5943402777777778,0.002593648619799431,288.0,Chirimachaya,0.21417150832712645,8.0,True,True,True,0.3801687694506513
2023-09-13,0.5863611111111111,0.002720706792549618,288.0,Chirimachaya,0.213169889524579,8.0,True,True,True,0.3731912215865321
2023-09-14,0.578954861111111,0.0018557878145677405,288.0,Chirimachaya,0.2121501117944717,8.0,True,True,True,0.3668047493166393
2023-09-15,0.5756979166666666,0.0006485544096678373,288.0,Chirimachaya,0.21150873973965642,8.0,True,True,True,0.36418917692701014
